"Title","Collateral Type","Collateral Manager","Bloomberg Deal Name","Intex Deal","Intex Preprice","Deal Documents"
" AGL CLO 29","BSL","AGL CLO Credit Management LLC",,,,
" GoldenTree Loan Management US CLO 28","BSL","GoldenTree Loan Management II, LP",,,,
"1988 CLO 2","BSL",,,,,
"1988 CLO 3","BSL","1988 Asset Management, LLC","MUZ88 2023-3A",,,"/:f:/r/sites/abs-struc-credit/CLO%20Deal%20Documents/1988%20CLO%203?csf=1&web=1&e=RE2wuF"
"1988 CLO 5","BSL",,,,,
"1988 CLO 6","BSL",,,,,
"1988 CLO 7","BSL","1988 CLO LP",,,,"/:f:/r/sites/abs-struc-credit/CLO%20Deal%20Documents/1988%20CLO%207?csf=1&web=1&e=JIVXTG"
"37 Capital CLO  1","BSL","The Putnam Advisory Company, LLC","PUTNM 2021-1A","capc37c1",,
"37 Capital CLO 2","BSL","The Putnam Advisory Company, LLC","PUTNM 2022-1A","capc37c2","citiputnam37capitalrefipricing|9Y3X
",
"37 Capital CLO 3","BSL","The Putnam Advisory Company, LLC","PUTNM 2023-1A","capc37c3",,
"37 Capital CLO 4","BSL","Franklin Advisers, Inc.","PUTNM 2023-2A",,,
"522 Funding CLO 2019-5","BSL","Morgan Stanley | Eaton Vance CLO Manager LLC","MORGN 2019-5A",,,"/:f:/r/sites/abs-struc-credit/CLO%20Deal%20Documents/522%20Funding%20CLO%202019-5?csf=1&web=1&e=9VULo3"
"720 East CLO 2022-I","BSL","Northwestern Mutual Investment Management Company, LLC","NWML 2022-1A","e72022i",,
"720 East CLO 2023-I","BSL","Northwestern Mutual Investment Management Company, LLC","NWML 2023-IA","e720231",,
"720 East CLO 2023-II","BSL","Northwestern Mutual Investment Management Company, LLC","NWML 2023-2A","e720232",,"/:f:/r/sites/abs-struc-credit/CLO%20Deal%20Documents/720%20East%20CLO%202023-II?csf=1&web=1&e=aSEvFz"
"720 East CLO IV","BSL","Northwestern Mutual Investment Management Company, LLC","NWML 2024-1A","e720244",,"/:f:/r/sites/abs-struc-credit/CLO%20Deal%20Documents/720%20East%20CLO%20IV?csf=1&web=1&e=EXTIO8"
"720 East CLO IX","BSL","Northwestern Mutual Investment Management Company, LLC","NWML 2026-1A",,,"/:f:/r/sites/abs-struc-credit/CLO%20Deal%20Documents/720%20East%20CLO%20IX?csf=1&web=1&e=BiibKI"
"720 East CLO V","BSL","Northwestern Mutual Investment Management Company, LLC","NWML 2024-2A","e720245",,
"720 East CLO VI","BSL","Northwestern Mutual Investment Management Company, LLC","NWML 2024-3A",,,
"720 East CLO VII","BSL","Northwestern Mutual Investment Management Company, LLC",,,,
"720 East CLO VIII","BSL","Northwestern Mutual Investment Management Company, LLC","NWML 2025-8A",,,"/:f:/r/sites/abs-struc-credit/CLO%20Deal%20Documents/720%20East%20CLO%20VIII?csf=1&web=1&e=5SGi8z"
"AB BSL CLO 1","BSL","AB Broadly Syndicated Loan Manager LLC","ABBSL 2020-1A",,,"/:f:/r/sites/abs-struc-credit/CLO%20Deal%20Documents/AB%20BSL%20CLO%201?csf=1&web=1&e=FK8PaI"
"AB BSL CLO 3","BSL",,,,,
"AB BSL CLO 4","BSL",,,,,
"AB BSL CLO 5","BSL",,,,,
"AB BSL CLO 6","BSL",,,,,
"ABPCI Direct Lending Fund CLO 21","MM",,,,,
"ABPCI Direct Lending Fund CLO 22","MM"," AB Private Credit Investors LLC",,,,
"ABPCI Direct Lending Fund CLO II","MM",,,,,
"ABPCI Direct Lending Fund CLO VI","MM",,,,,
"ABPCI Direct Lending Fund CLO XI","MM",,,,,
"ABPCI Direct Lending Fund CLO XII","MM",,,,,
"ABPCI Direct Lending Fund CLO XIX","MM",,,,,
"ABPCI Direct Lending Fund CLO XVI","MM"," AB Private Credit Investors LLC","ABPCI 2023-16A",,,"/:f:/r/sites/abs-struc-credit/CLO%20Deal%20Documents/ABPCI%20Direct%20Lending%20Fund%20XVI?csf=1&web=1&e=jPU7MS"
"ABPCI Direct Lending Fund CLO XVII","MM",,,,,
"ABPCI Direct Lending Fund CLO XVIII","MM",,,,,
"ABPCI Direct Lending Fund CLO XX","MM",,,,,
"ABPCI Direct Lending Fund CLO XXI","MM",,,,,
"Abry Liquid Credit CLO 2025-1","BSL","Abry Partners III, LLC","ALC 2025-1A",,,"/:f:/r/sites/abs-struc-credit/CLO%20Deal%20Documents/Abry%20Liquid%20Credit%20CLO%202025-1?csf=1&web=1&e=yLRfpQ"
