"Name","Short Name","Ultimate Parent","CRD Number","SEC Number","Website"
"Aegon USA Investment Management, LLC","Aegon","Aegon NV","114537","801-60667","https://www.aegonam.com/"
"American Money Management Corporation","AMMC","American Financial Group, Inc.","161853","801-74530","https://www.afginc.com/"
"Ares CLO Management II LLC","Ares","Ares Management LP","130074","801-63800","https://www.aresmgmt.com/"
"Ares CLO Management LLC","Ares","Ares Management LP","257788","801-106751","https://www.aresmgmt.com/"
"Bain Capital Credit U.S. CLO Manager II, LP","Bain","Bain Capital, LP",,,"https://www.baincapital.com/"
"Bain Capital Credit U.S. CLO Manager, LLC","Bain","Bain Capital, LP",,,"https://www.baincapital.com/"
"Bain Capital Senior Loan Program, LLC","Bain","Bain Capital, LP",,,"https://www.baincapital.com/"
"Barings LLC","Barings","Massachusetts Mutual Life Insurance Company","106006","801-241","https://www.barings.com/"
"BlackRock Financial Management, Inc.","BlackRock","BlackRock, Inc.","107105","801-48433","https://www.blackrock.com/"
"Blackstone / GSO CLO Management LLC","Blackstone","The Blackstone Group LP",,,"https://www.blackstone.com/"
"Blackstone CLO Management LLC","Blackstone","The Blackstone Group LP",,,"https://www.blackstone.com/"
"Blackstone Liquid Credit Strategies LLC","Blackstone","The Blackstone Group LP",,,"https://www.blackstone.com/"
"Blackstone Private Credit Fund","Blackstone","The Blackstone Group LP",,,"https://www.blackstone.com/"
"Blue Owl Credit Advisors LLC","Blue Owl","Blue Owl Capital Inc.",,,"https://www.blueowl.com/"
"Blue Owl Credit Income Senior Loan Fund LLC","Blue Owl","Blue Owl Capital Inc.",,,"https://www.blueowl.com/"
"Blue Owl Diversified Credit Advisors LLC","Blue Owl","Blue Owl Capital Inc.",,,"https://www.blueowl.com/"
"Blue Owl Liquid Credit Advisors LLC","Blue Owl","Blue Owl Capital Inc.",,,"https://www.blueowl.com/"
"Blue Owl Credit SLF LLC","Blue Owl","Blue Owl Capital Inc.",,,"https://www.blueowl.com/"
"Carlyle CLO Management LLC","Carlyle","The Carlyle Group LP",,,"https://www.carlyle.com/"
"Carlyle Investment Management LLC","Carlyle","The Carlyle Group LP",,,"https://www.carlyle.com/"
"Credit Suisse Asset Management, LLC","UBS",,,,"https://www.ubs.com/global/en/assetmanagement.html"
"CVC Credit Partners U.S. CLO Management LLC","CVC",,,,"https://www.cvc.com/"
