"Engaged","Executed","Deal","IPT","Final Pricing Details","Placement Agent","Term","Transaction Type","Status","Announcement Date","Priced Date","Title","Collateral Type","Collateral Manager"
"False","False","GoldenTree Loan Management US CLO 9","ARR (Sr AAA) @ 118 DM (448mm)
AJR (Jr AAA) @ 140 DM (7.7mm)
BRR (AA) @ 155 DM
CRR (A) @ 180 DM
DRR (Sr BBB) @ 290 DM (38.5mm)
DJR (Jr BBB) @ 440 DM (10.5mm)
ERR (BB) @ 580-590 DM
FR (B) retained",,"Wells Fargo","3nc1","Refinancing","Announced","3/18/2026",,"glm9_refi","BSL",
"True","False","Invesco U.S. CLO 2024-1 (fka Lucali CLO)","AR2 (AAA) @ 118-119 dm
BR2 (AA) A 170-175 dm
CR2 (A) @ 195-200 dm",,"Mizuho","3nc1","Reset","Announced","3/11/2026",,"invesco24-1_reset26","BSL",
"True","False","Ares LXXX CLO","A1 (Sr AAA) @ 122 dm
A2 (Jr AAA) @ 140a dm
B (AA) @ 150-155 dm
C (A) @ 175-180 dm
D (BBB) @ 280-285 dm",,"Mizuho","5nc2","New Issue","Upcoming","3/11/2026",,"ares90_newissue","BSL",
"False","False","Carlyle US CLO 2026-3","
A1 (Sr AAA) @ Pre-placed
A2 (Jr AAA) @ 145–150 DM
AA (AA)     @ 160–165 DM
A (A)       @ 180–190 DM
BBB (BBB)   @ 300a DM
BB (BB)     @ 590–600 DM
",,"Mitsubishi","5nc2","New Issue","Announced","3/11/2026",,"carlyle26-3_newissue","BSL",
"True","False","720 East CLO IV","AAA @ L120s DM",,"Nomura","5nc2","Reset","Announced","3/9/2026",,"720east4_reset","BSL",
"False","False","Elmwood CLO 48","A-1 (Sr AAA) @ 122 DM
A-2 (Jr AAA) @ 145–155 DM
AA (AA)      @ 160–165 DM
A (A)        @ 190–200 DM
BBB (BBB)    @ 300–310 DM
BB (BB)      @ 600–625 D",,"Citigroup","5nc2","New Issue","Announced","3/6/2026",,"elm48_newissue","BSL",
"False","False","BCRED BSL Static CLO 2026-1","A (AAA) @ M120",,"BNP Paribas","0nc1","New Issue","Announced","3/4/2026",,"bcred-static-26-1_newissue","BSL",
"True","False","Garnet CLO 6","A-1 (Sr AAA) @ 125 DM
A-2 (Jr AAA) @ 145 DM
AA (AA)      @ 170 DM
A (A)        @ 190 DM
BBB (BBB)    @ 300 DM
",,"Bank of America","5nc2","New Issue","Announced","3/4/2026",,"garnet6_newissue","BSL",
"True","False","BCC Middle Market CLO 2018-1","
Sr AAA (AAA) @ 148-150 DM
Jr AAA (AAA) @ 170a DM
AA (AA)      @ 185a DM
A (A)        @ 220a DM
BBB (BBB)    @ 325-350 DM
BB (BB)      @ MH700 DM",,"Citigroup","4nc2","Reset","Announced","3/2/2026",,"bccmm2018-1_reset_2026","MM",
"False","False","CIFC Funding 2022-V","A (AAA) @ 118a",,"Morgan Stanley","5nc2","Reset","Announced","3/2/2026",,"cifc22-5_reset","BSL",
"False","False","Barings CLO 2026-1","Sr AAA (AAA) @ 121 DM
Jr AAA (AAA) @ 145a DM
AA (AA) @ 160a DM
A (A)   @ 185a DM
BBB (BBB) @ 313 DM
BB (BB)   @ 600-615 DM",,"Goldman Sachs","5nc2","New Issue","Announced","2/27/2026",,"bar26-1_newissue","BSL",
"False","False","Sixth Street CLO 32","
A1 (Sr AAA) @ 117 DM
A2 (Jr AAA) @ 135a DM
B (AA)      @ 140–145 DM
C (A)       @ 170–180 DM
D (BBB)     @ 275–375 DM
E (BB)      @ 490–515 DM
","
A-1 Notes (Sr AAA) @ 117 DM
A-2 (Jr AAA)       @ 150 DM
AA (AA)            @ 165 DM
A (A)              @ 195 DM
BBB (BBB)          @ 321 DM
BB (BB)            @ 600 DM
","Citigroup","5nc2","New Issue","Priced","2/27/2026","3/11/2026","sixth32_newissue","BSL",
"False","False","TPG CLO 2026-3","
AAA      @ 123 DM
Jr AAA   @ 145a DM
AA       @ Preplaced
A        @ 200-210 DM
Sr BBB   @ 300-315 DM
Jr BBB   @ 425a DM
BB       @ 550-570 DM",,"JPMorgan","5nc2","New Issue","Announced","2/27/2026",,"tpg26-3_newisssue","BSL",
"False","False","Magnetite LIV","A-1 (Sr AAA) @ 117 DM
A-2 (Jr AAA) @ 135a DM
B (AA)       @ 150 DM
C (A)        @ 168 DM
D-1/D-2 (BBB) @ 279a DM
E (BB)       @ 500a DM",,"Bank of America","5nc2","New Issue","Announced","2/27/2026",,"mag54_newissue","BSL",
"False","False","Neuberger Berman Loan Advisers CLO 54","
A-1-R (Sr AAA) @ 119–120 DM
A-2-R (Jr AAA) @ 140 DM
B-R   (AA)     @ 150 DM
C-R   (A)      @ 180 DM
D     (BBB)    @ 290–380 DM
E-R   (BB)     @ 550 D",,"Wells Fargo","5nc2","Reset","Announced","2/26/2026",,"nb54_reset2026","BSL",
"False","False","RR 28","
A-1A-R2 (Sr AAA) @ 118–119 DM
A-1B-R2 (Jr AAA) @ 140 DM
A-2-R2  (AA)     @ 150 DM
B-R2     (A)     @ 180 DM
C        (BBB)   @ 290–380 DM
D-R2     (BB)    @ 550 DM","A-1A-R2 (Sr AAA) @ 124 DM
A-1B-R2 (Jr AAA) @ 150 DM
AA (AA)          @ 165 DM
A (A)            @ 200 DM
BBB (BBB)        @ 325 DM
BB (BB)          @ 625 DM","Citigroup","5nc2","Reset","Priced","2/26/2026","3/11/2026","rr28_reset","BSL",
"False","False","Montauk Park CLO","
A1 (Sr AAA) @ Pre-Placed
A2 (Jr AAA) @ 133–135 DM
B  (AA)     @ 145a DM
C  (A)      @ 165–170 DM
D  (BBB)    @ 265–375 DM
E  (BB)     @ 490–500 DM
",,"BNP Paribas","5nc2","New Issue","Announced","2/26/2026",,"bs_mtpark_newissue","BSL",
"False","False","Anchorage Capital CLO 20",,"
AAA @ 150 DM
AA  @ 180 DM
A   @ 215 DM
BBB @ 310 DM
BB  @ 550 DM
","GreensLedge","3nc1.5","Reset","Priced","2/25/2026","3/3/2026","anch20_reset26","BSL",
"False","False","Ares Loan Funding III",,"
A-1-R2 (Sr AAA) @ 119 DM
A-2-R2 (Jr AAA) @ 140 DM
AA (AA)         @ 150 DM
A (A)           @ 195 DM
BBB (BBB)       @ 347 DM
BB (BB)         @ 652 DM
","Nomura","5nc2","Reset","Priced","2/25/2026","3/11/2026","aresL3_reset26","BSL",
"False","False","OHA Credit Funding 1","A1R2 (Sr AAA) @ 115-117 DM",,"JPMorgan","5nc2","Reset","Announced","2/24/2026",,"oha1_reset","BSL",
