Cf,Deal Name,Type,Collateral,Pricing,Settle,Orig(MM),Crcy,Ctry,Lead Mgr,,,,,,,,,,,
,SHAWN 2022-2A,CLO,CF-CLO-MML,TBA,03/04/2026,"1,550",USD,Mixed,ELDR,,,,,,,,,,,
,CHRST 2026-1A,CLO,CF-CLO-LL,TBA,03/16/2026,76,USD,Mixed,BCMK,,,,,,,,,,,
,AUSTN 2026-1A,CLO,CF-CLO-LL,TBA,03/16/2026,76,USD,Mixed,BCMK,,,,,,,,,,,
,BRNTE 2026-1A,CLO,CF-CLO-LL,TBA,03/16/2026,76,USD,Mixed,BCMK,,,,,,,,,,,
,BATLN 2026-31A,CLO,CF-CLO-LL,TBA,04/10/2026,404,USD,Mixed,MS,,,,,,,,,,,
*,GCBSL 2026-87A,CLO,CF-CLO-LL,01/21/2026,03/06/2026,408,USD,Mixed,BNPP,,,,,,,,,,,
*,TRNTS 2026-35A,CLO,CF-CLO-LL,01/26/2026,03/06/2026,503,USD,Mixed,SMBC,,,,,,,,,,,
*,OR 2026-24A,CLO,CF-CLO-MML,01/29/2026,03/05/2026,801,USD,Mixed,JPM,,,,,,,,,,,
,BCC 2026-1A,CLO,CF-CLO-LL,01/30/2026,03/19/2026,612,USD,Mixed,BNPP,,,,,,,,,,,
,MENLO 2026-1A,CLO,CF-CLO-LL,02/03/2026,03/20/2026,504,USD,Mixed,BNPP,,,,,,,,,,,
,OAKC 2024-17RA,CLO,CF-CLO-LL,02/04/2026,03/02/2026,455,USD,Mixed,CIBC,,,,,,,,,,,
,RRAM 2026-44A,CLO,CF-CLO-LL,02/05/2026,03/19/2026,507,USD,Mixed,SCOB,,,,,,,,,,,
*,ARES 2021-ALFA,CLO,CF-CLO-LL,02/06/2026,03/03/2026,777,USD,Mixed,BNPP,,,,,,,,,,,
*,VIBR 2019-11A,CLO,CF-CLO-LL,02/09/2026,03/23/2026,"1,310",USD,Mixed,BNPP,,,,,,,,,,,
,NEUB 2026-63A,CLO,CF-CLO-LL,02/09/2026,03/25/2026,509,USD,Mixed,JPM,,,,,,,,,,,
*,BCRED 2026-1A,CLO,CF-CLO-MML,02/10/2026,03/09/2026,994,USD,Mixed,BNPP,,,,,,,,,,,
,RIN 2026-1A,CLO,CF-CLO-LL,02/10/2026,03/23/2026,456,USD,Mixed,MU,,,,,,,,,,,
*,OCP 2024-31A,CLO,CF-CLO-LL,02/12/2026,03/10/2026,964,USD,Mixed,CIBM,,,,,,,,,,,
,MANDL 2026-1A,CLO,CF-CLO-MML,02/12/2026,03/12/2026,592,USD,Mixed,BNPP,,,,,,,,,,,
,BRYPK 2026-29A,CLO,CF-CLO-LL,02/12/2026,03/25/2026,406,USD,Mixed,MU,,,,,,,,,,,
,HONPK 2026-1A,CLO,CF-CLO-LL,02/12/2026,03/26/2026,710,USD,Mixed,SANT,,,,,,,,,,,
,TREST 2026-10A,CLO,CF-CLO-LL,02/12/2026,03/26/2026,501,USD,Mixed,MS,,,,,,,,,,,
*,MVEW 2016-1A,CLO,CF-CLO-LL,02/13/2026,03/03/2026,"1,264",USD,Mixed,BCM,,,,,,,,,,,
,ANTOR 2026-7A,CLO,CF-CLO-LL,02/13/2026,03/27/2026,408,USD,Mixed,SMBC,,,,,,,,,,,
*,ABBSL 2021-2A,CLO,CF-CLO-LL,02/18/2026,03/05/2026,770,USD,Mixed,WFS,,,,,,,,,,,
*,BOYCE 2022-1A,CLO,CF-CLO-LL,02/19/2026,03/10/2026,"1,287",USD,Mixed,BOFA,,,,,,,,,,,
*,CHMML 2023-3A,CLO,CF-CLO-MML,02/19/2026,03/11/2026,755,USD,Mixed,WFS,,,,,,,,,,,
*,BLACK 2022-1A,CLO,CF-CLO-LL,02/20/2026,03/04/2026,742,USD,Mixed,JPM,,,,,,,,,,,
*,LCM 39A,CLO,CF-CLO-LL,02/20/2026,03/04/2026,"1,187",USD,Mixed,MUSA,,,,,,,,,,,
*,VENTR 2021-43A,CLO,CF-CLO-LL,02/20/2026,03/05/2026,"1,337",USD,Mixed,JEF,,,,,,,,,,,
*,ICG 2014-1A,CLO,CF-CLO-LL,02/20/2026,03/06/2026,"1,268",USD,Mixed,SMBC,,,,,,,,,,,
*,CERB 2023-4A,CLO,CF-CLO-MML,02/20/2026,03/13/2026,612,USD,Mixed,WFS,,,,,,,,,,,
,NAVS 2026-5A,CLO,CF-CLO-LL,02/20/2026,03/31/2026,398,USD,Mixed,MS,,,,,,,,,,,
*,RRAM 2023-25A,CLO,CF-CLO-LL,02/23/2026,03/09/2026,"1,597",USD,Mixed,BOFA,,,,,,,,,,,
*,STCP 2023-2A,CLO,CF-CLO-LL,02/25/2026,03/11/2026,"1,132",USD,Mixed,CITG,,,,,,,,,,,
*,NEUB 2022-51A,CLO,CF-CLO-LL,02/26/2026,03/10/2026,"1,594",USD,Mixed,WFS,,,,,,,,,,,
*,DRSLF 2022-98A,CLO,CF-CLO-LL,02/26/2026,03/12/2026,"1,000",USD,Mixed,NS,,,,,,,,,,,
*,WOODS 2020-22A,CLO,CF-CLO-LL,02/26/2026,03/16/2026,"1,490",USD,Mixed,BOFA,,,,,,,,,,,
,MUZ88 2026-7A,CLO,CF-CLO-LL,02/26/2026,04/08/2026,524,USD,Mixed,BNPP,,,,,,,,,,,
*,PSTAT 2024-2A,CLO,CF-CLO-LL,02/27/2026,03/11/2026,"1,688",USD,Mixed,CITG,,,,,,,,,,,
*,ELM16 2022-3A,CLO,CF-CLO-LL,02/27/2026,03/12/2026,"2,111",USD,Mixed,NS,,,,,,,,,,,
*,SAND 2021-1A,CLO,CF-CLO-LL,02/27/2026,03/13/2026,"1,236",USD,Mixed,JPM,,,,,,,,,,,
*,OCPA 2024-39A,CLO,CF-CLO-LL,02/27/2026,03/13/2026,785,USD,Mixed,JPM,,,,,,,,,,,
,GOCAP 2024-71A,CLO,CF-CLO-MML,02/27/2026,03/20/2026,"2,192",USD,Mixed,BNPP,,,,,,,,,,,
,ABPCI 2023-16A,CLO,CF-CLO-MML,02/27/2026,03/26/2026,749,USD,Mixed,NATX,,,,,,,,,,,
*,SNDPT 2021-4A,CLO,CF-CLO-LL,03/02/2026,03/13/2026,912,USD,Mixed,BofA,,,,,,,,,,,
*,KKR 2022-43A,CLO,CF-CLO-LL,03/02/2026,03/16/2026,"1,066",USD,Mixed,GLCM,,,,,,,,,,,
*,JTWN 2020-15A,CLO,CF-CLO-LL,03/03/2026,03/13/2026,"1,124",USD,Mixed,SMBC,,,,,,,,,,,
*,ATCLO 2023-22A,CLO,CF-CLO-LL,03/03/2026,03/17/2026,678,USD,Mixed,JEF,,,,,,,,,,,
*,BABSN 2024-1A,CLO,CF-CLO-LL,03/04/2026,03/17/2026,778,USD,Mixed,MS,,,,,,,,,,,
*,BCC 2024-1A,CLO,CF-CLO-LL,03/04/2026,03/18/2026,969,USD,Mixed,MIZU,,,,,,,,,,,
,NAVS 2026-6A,CLO,CF-CLO-LL,03/04/2026,03/31/2026,398,USD,Mixed,MS,,,,,,,,,,,
,ARIN 5A,CLO,CF-CLO-LL,03/04/2026,04/15/2026,402,USD,Mixed,DBS,,,,,,,,,,,
*,TCW 2024-1A,CLO,CF-CLO-LL,03/05/2026,03/17/2026,785,USD,Mixed,JEF,,,,,,,,,,,
,GLM 2026-28A,CLO,CF-CLO-LL,03/06/2026,03/26/2026,703,USD,Mixed,MS,,,,,,,,,,,
*,AGL 2024-29A,CLO,CF-CLO-LL,03/09/2026,03/19/2026,774,USD,Mixed,JPM,,,,,,,,,,,
*,RRAM 2024-28RA,CLO,CF-CLO-LL,03/10/2026,03/20/2026,"1,107",USD,Mixed,Jnt,,,,,,,,,,,
,MONTPK 2026-1A,CLO,CF-CLO-LL,03/10/2026,03/27/2026,609,USD,Mixed,BNPP,,,,,,,,,,,
*,ARES 2022-ALF3A,CLO,CF-CLO-LL,03/11/2026,04/01/2026,"1,135",USD,Mixed,NS,,,,,,,,,,,
*,GALXY 2017-24A,CLO,CF-CLO-LL,03/11/2026,04/15/2026,"1,245",USD,Mixed,BOFA,,,,,,,,,,,
*,VOYA 2026-1A,CLO,CF-CLO-LL,03/11/2026,04/29/2026,406,USD,Mixed,RBC,,,,,,,,,,,
*,SNDPT 2022-1A,CLO,CF-CLO-LL,03/12/2026,03/25/2026,887,USD,Mixed,BOFA,,,,,,,,,,,
*,ELM26 2024-1A,CLO,CF-CLO-LL,03/12/2026,04/02/2026,"1,160",USD,Mixed,BOFA,,,,,,,,,,,
*,CIFC 2022-5A,CLO,CF-CLO-LL,03/13/2026,03/30/2026,"1,417",USD,Mixed,MS,,,,,,,,,,,
,ASPCFO 2026-1A,CLO,CF-CLO-LL,03/16/2026,03/20/2026,500,USD,Mixed,N/A,,,,,,,,,,,
*,PIPK 2021-7A,CLO,CF-CLO-LL,03/17/2026,03/30/2026,"1,142",USD,Mixed,SMBC,,,,,,,,,,,
*,MIDO 2024-14A,CLO,CF-CLO-LL,03/19/2026,03/30/2026,779,USD,Mixed,BNPP,,,,,,,,,,,
*,GCF 2021-3A,CLO,CF-CLO-MML,03/19/2026,04/21/2026,863,USD,Mixed,Jnt,,,,,,,,,,,
*,INVCO 2024-1RA,CLO,CF-CLO-LL,03/20/2026,04/02/2026,908,USD,Mixed,MSUL,,,,,,,,,,,
,CRFT 2026-1A,CLO,CF-CLO-LL,03/23/2026,04/01/2026,512,USD,Mixed,DBS,,,,,,,,,,,
*,BCMM 2018-1A,CLO,CF-CLO-MML,03/23/2026,04/06/2026,"1,337",USD,Mixed,CITG,,,,,,,,,,,
*,AIMCO 2018-BA,CLO,CF-CLO-LL,03/24/2026,04/16/2026,"1,559",USD,Mixed,BNPP,,,,,,,,,,,
*,NEUB 2016-22A,CLO,CF-CLO-LL,03/24/2026,04/17/2026,"1,702",USD,Mixed,BAML,,,,,,,,,,,
,BCRDST 2026-1A,CLO,CF-CLO-LL,03/25/2026,04/22/2026,980,USD,Mixed,BNPP,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
